time_stamp,day,power_washer_dryer
19,1,866.0
20,1,2554.0
21,1,2505.0
22,1,2669.0
23,1,2890.0
0,2,3150.0
1,2,3167.0
2,2,3235.0
3,2,3228.0
4,2,2973.0
5,2,2667.0
6,2,2658.0
7,2,771.0
8,2,
9,2,
10,2,
11,2,
12,2,
13,2,
14,2,
15,2,
16,2,
17,2,
18,2,
19,2,
20,2,
21,2,
22,2,
23,2,
0,3,
1,3,
2,3,
3,3,
4,3,
5,3,
6,3,
7,3,
8,3,
9,3,
10,3,
11,3,
12,3,
13,3,
14,3,
15,3,
16,3,
17,3,
18,3,
19,3,
20,3,
21,3,
22,3,
23,3,
0,4,
1,4,
2,4,2365.0
3,4,3170.0
4,4,3038.0
5,4,2574.0
6,4,2669.0
7,4,2811.0
8,4,2759.0
9,4,2616.0
10,4,2652.0
11,4,2776.0
12,4,2601.0
13,4,2732.0
14,4,2677.0
15,4,2712.0
16,4,2615.0
17,4,2446.0
18,4,1275.0
19,4,
20,4,
21,4,
22,4,
23,4,
0,5,
1,5,
2,5,1902.0
3,5,2519.0
4,5,2822.0
5,5,2710.0
6,5,2768.0
7,5,2670.0
8,5,2726.0
9,5,2715.0
10,5,2988.0
11,5,3185.0
12,5,2869.0
13,5,2592.0
14,5,2481.0
15,5,2697.0
16,5,2580.0
17,5,2530.0
18,5,2537.0
19,5,2523.0
20,5,2624.0
21,5,2737.0
22,5,2667.0
23,5,2822.0
0,6,3113.0
1,6,3163.0
2,6,3398.0
3,6,3169.0
4,6,3063.0
5,6,2814.0
6,6,2728.0
7,6,2798.0
8,6,2865.0
9,6,2770.0
10,6,2567.0
11,6,2671.0
12,6,2648.0
13,6,2567.0
14,6,2575.0
15,6,2695.0
16,6,2587.0
17,6,2661.0
18,6,2567.0
19,6,2520.0
20,6,2646.0
21,6,2859.0
22,6,2777.0
23,6,2716.0
0,7,2600.0
1,7,2715.0
2,7,2912.0
3,7,3205.0
4,7,3195.0
5,7,3181.0
6,7,3168.0
7,7,3201.0
8,7,3293.0
9,7,2988.0
10,7,2823.0
11,7,2659.0
12,7,2653.0
13,7,2784.0
14,7,2702.0
15,7,2632.0
16,7,2719.0
17,7,2584.0
18,7,2752.0
19,7,2608.0
20,7,2690.0
21,7,2649.0
22,7,2466.0
23,7,2541.0
0,8,2366.0
1,8,2402.0
2,8,2433.0
3,8,2492.0
4,8,2599.0
5,8,2638.0
6,8,2785.0
7,8,2873.0
8,8,2874.0
9,8,2783.0
10,8,2790.0
11,8,2845.0
12,8,2687.0
13,8,2752.0
14,8,2617.0
15,8,2612.0
16,8,2641.0
17,8,2801.0
18,8,2735.0
19,8,2703.0
20,8,2787.0
21,8,2692.0
22,8,2714.0
23,8,2794.0
0,9,2691.0
1,9,2502.0
2,9,2395.0
3,9,2507.0
4,9,2693.0
5,9,2649.0
6,9,2787.0
7,9,2661.0
8,9,2694.0
9,9,2715.0
10,9,2750.0
11,9,2705.0
12,9,2773.0
13,9,2512.0
14,9,2564.0
15,9,2609.0
16,9,2466.0
17,9,2643.0
18,9,2683.0
19,9,2651.0
20,9,2535.0
21,9,2469.0
22,9,3140.0
23,9,3183.0
0,10,3087.0
1,10,3049.0
2,10,3114.0
3,10,3222.0
4,10,2304.0
5,10,3052.0
6,10,2511.0
7,10,2650.0
8,10,2641.0
9,10,2671.0
10,10,2607.0
11,10,2627.0
12,10,2489.0
13,10,2513.0
14,10,2579.0
15,10,2520.0
16,10,2453.0
17,10,2261.0
18,10,2211.0
19,10,2283.0
20,10,2312.0
21,10,2240.0
22,10,2328.0
23,10,2078.0
0,11,3027.0
1,11,3111.0
2,11,3116.0
3,11,2978.0
4,11,3047.0
5,11,3062.0
6,11,3077.0
7,11,3151.0
8,11,3156.0
9,11,2861.0
10,11,2524.0
11,11,2464.0
12,11,2520.0
13,11,2577.0
14,11,2631.0
15,11,2441.0
16,11,2234.0
17,11,2185.0
18,11,2139.0
19,11,2132.0
20,11,2099.0
21,11,2195.0
22,11,2540.0
23,11,2825.0
0,12,3227.0
1,12,3154.0
2,12,3123.0
3,12,3170.0
4,12,3011.0
5,12,2444.0
6,12,2517.0
7,12,2547.0
8,12,2577.0
9,12,2472.0
10,12,2486.0
11,12,2573.0
12,12,2601.0
13,12,2653.0
14,12,2522.0
15,12,2460.0
16,12,2402.0
17,12,2305.0
18,12,2389.0
19,12,2423.0
20,12,2373.0
21,12,2372.0
22,12,2364.0
23,12,35426.0
0,13,3103.0
1,13,1085.0
2,13,
3,13,
4,13,
5,13,
6,13,
7,13,
8,13,
9,13,
10,13,
11,13,
12,13,
13,13,
14,13,
15,13,
16,13,
17,13,
18,13,
19,13,
20,13,
21,13,
22,13,
23,13,
0,14,
1,14,
2,14,
3,14,
4,14,
5,14,
6,14,
7,14,
8,14,
9,14,
10,14,
11,14,
12,14,
13,14,
14,14,
15,14,
16,14,
17,14,
18,14,
19,14,
20,14,
21,14,
22,14,
23,14,
0,15,
1,15,
2,15,
3,15,
4,15,
5,15,
6,15,
7,15,
8,15,
9,15,
10,15,
11,15,
12,15,
13,15,
14,15,
15,15,
16,15,
17,15,
18,15,
19,15,
20,15,
21,15,
22,15,
23,15,
0,16,
1,16,
2,16,
3,16,
4,16,
5,16,
6,16,
7,16,
8,16,
9,16,
10,16,
11,16,
12,16,
13,16,
14,16,
15,16,
16,16,
17,16,
18,16,
19,16,
20,16,
21,16,
22,16,
23,16,
0,17,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,
8,17,
9,17,
10,17,
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
19,17,
20,17,
21,17,
22,17,
23,17,
0,18,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,
10,18,
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
19,18,
20,18,
21,18,
22,18,
23,18,
0,19,
1,19,
2,19,
3,19,
4,19,
5,19,417.0
6,19,2933.0
7,19,3040.0
8,19,2852.0
9,19,2914.0
10,19,2890.0
11,19,2918.0
12,19,2691.0
13,19,2661.0
14,19,2705.0
15,19,2754.0
16,19,2645.0
17,19,2605.0
18,19,2577.0
19,19,2591.0
20,19,2541.0
21,19,2556.0
22,19,2572.0
23,19,2531.0
0,20,3479.0
1,20,3678.0
2,20,3738.0
3,20,3722.0
4,20,3029.0
5,20,2825.0
6,20,2868.0
7,20,2797.0
8,20,2518.0
9,20,2581.0
10,20,2765.0
11,20,3730.0
12,20,3191.0
13,20,2835.0
14,20,229.0
15,20,
16,20,
17,20,
18,20,
19,20,
20,20,
21,20,
22,20,
23,20,
0,21,
1,21,
2,21,
3,21,
4,21,
5,21,
6,21,
7,21,
8,21,
9,21,2769.0
10,21,2978.0
11,21,3544.0
12,21,3081.0
13,21,2788.0
14,21,2799.0
15,21,2736.0
16,21,2863.0
17,21,2849.0
18,21,2844.0
19,21,2945.0
20,21,2718.0
21,21,2836.0
22,21,2679.0
23,21,2889.0
0,22,3676.0
1,22,3751.0
2,22,4257.0
3,22,3783.0
4,22,3605.0
5,22,2810.0
6,22,3053.0
7,22,3155.0
8,22,3228.0
9,22,3118.0
10,22,2908.0
11,22,2939.0
12,22,3007.0
13,22,3210.0
14,22,2824.0
15,22,2808.0
16,22,2879.0
17,22,2913.0
18,22,3028.0
19,22,3047.0
20,22,3185.0
21,22,3183.0
22,22,3210.0
23,22,3271.0
0,23,3093.0
1,23,3116.0
2,23,3546.0
3,23,3098.0
4,23,3114.0
5,23,3186.0
6,23,2971.0
7,23,3095.0
8,23,3114.0
9,23,3200.0
10,23,3162.0
11,23,3163.0
12,23,3452.0
13,23,3739.0
14,23,3758.0
15,23,3751.0
16,23,3989.0
17,23,4066.0
18,23,3764.0
19,23,3754.0
20,23,2486.0
21,23,3758.0
22,23,3741.0
23,23,3117.0
0,24,3745.0
1,24,3812.0
2,24,3833.0
3,24,3258.0
4,24,3429.0
5,24,3417.0
6,24,3275.0
7,24,3224.0
8,24,3237.0
9,24,3136.0
10,24,3175.0
11,24,3420.0
12,24,3459.0
13,24,2962.0
14,24,3020.0
15,24,2890.0
16,24,2855.0
17,24,2981.0
18,24,3058.0
19,24,3010.0
20,24,3051.0
21,24,3176.0
22,24,3141.0
23,24,3490.0
0,25,3773.0
1,25,791.0
